symbol
CHDN
WDC
SMR
ARX
GOOG
AAPL
NKE
TSLA
UEC
ROIV
AMPX
NFE
NVDA
CRNC
IBM
CRC
LAES
LQQ.PA
TE
CTRA
CRM
SFM
PLTR
DNN
NANO
CSTE
DLR
META
PBR
OMC
HOOD
NNE
8JO1
TSM
DRS
FCX
VRT
RBLX
VST
SXRZ
PAAS
SNOW
PVLA
HD
MUR
VG
ADPT
MSFT
SHOP
E3B
AVGO
MELI
UAL
LNG
AMD
MRVL
UUUU
APLD
MOS
MGNX
RH
SUN
ENVX
BLK
CCJ
PRAX
OKLO
ACHR
MARA
BWXT
MSTR
RGTI
RTX
URG
ALAB
AMZN
CEG
DXCM
MP
IONQ
QBTS
MU
BA
HWM
AEHR
IWDA
ALMS
WMT
ASML
AMAT
NU
VALE
MPC
MDB
CMS
FTAI
JNJ
SLSR
DIS
PAYO
WT
SOFI
GLOO
AIOT
RIOT
GOOGL
IOT
ADBE
ORCL
NFLX
DELL
XOM
GTLB
CLSK
QQQ
IWM
SPY
COIN
SMCI
ZS
PANW
SMH
ARM
NOC
SOUN
NVO
LMT
CRWD
LLY
QCOM
ASTS
ALL
DVN
ECL
FANG
GILD
HCA
MCK
PCG
ROL
STE
VMC
VTR
WAT
WMB
WST
ADSK
AMGN
APH
BIIB
CAH
FICO
FSLR
IQV
MTD
REGN
TMO
BETR
LDI
ONIT
PFSI
SNFCA
VEL
WD
AG
DVS
EXK
NEWP
SVM
AER
AIHS
AL
ALTG
CAR
CTOS
GATX
HRI
HTZ
MGRC
MWG
PRG
R
UHAL
UHAL-B
URI
VSTS
WLFC
WSC
AA
CENX
CSTM
KALU
BSX
CI
DHR
PODD
AES
OXY
MOH
NEM
MSI
SLB
INTC
COP
BKR
CLX
APA
DECK
HAL
STZ
TSN
BRK-B
MA
COST
CSCO
AZN
APP
TMUS
LRCX
TTWO
KHC
EXC
WBD
LIN
ROST
CSGP
CMCSA
CHTR
GEHC
ABNB
AEP
XEL
MCHP
EA
CPRT
ADP
KDP
PEP
CCEP
ISRG
INTU
BKNG
KLAC
TXN
PDD
ADI
HON
VRTX
DASH
SBUX
SNPS
CDNS
MAR
ORLY
CTAS
MNST
MDLZ
CSX
STX
FTNT
TRI
PCAR
WDAY
NXPI
PYPL
IDXX
ALNY
ROP
DDOG
FAST
FER
AXON
GOLD
ANET
ASUR
DVLT
IBKR
CLS
EKSO
AEHL
AFJK
PFSA
ULY
MENS
CETX
DAIC
ONTF
FLYE
NBY
BRLS
FONR
GRDX
OCG
DRMA
VBIX
DEVS
LEE
SRL
SCWO
ELWS
BCG
TTRX
TROO
NCEW
DUOT
ESHA
INAB
RARE
RDZN
AHG
ARBK
ASTI
CMBM
MCRP
NKLR
JMG
RDW
BW
AVX
BVC
RCON
ROLR
SNTG
MSC
GXAI
OPTX
EGG
DLPN
ALAR
ENTX
CYPH
SOPA
IMA
IDAI
COHN
AP
FIEE
NGNE
AEI
PURR
UA
AEMD
VUZI
IZM
AMTX
AMIX
AXTI
ZENA
PSIG
GRNQ
BCTX
BGMS
FRMI
UAA
BNKK
CNTX
BYRN
CV
ONDS
JMIA
IMDX
ASYS
BUUU
EQ
NRXS
PEPG
NXTC
THAR
ACHV
OCC
DDS
KSS
M
PLBL
JPM
BAC
C
GS
CAT
UPS
CVX
BP
UGRO
CETY
CTNT
GWAV
POLA
SGLY
SOAR
IVDA
IPDN
BKYI
XPON
MNTS
HYFM
VRME
STAI
AWX
KITT
SGBX
UUU
AREB
BIRK
CROX
DBI
FMFC
FOSL
FWDI
ONON
RCKY
SHOO
VRA
WEYS
WWW
FDS
GL
IVZ
AIZ
BEN
ERIE
PFG
L
TROW
KEY
RF
CFG
CINF
NTRS
CBOE
WRB
BRO
HBAN
SYF
ASM
BVN
ELE
HL
ITRG
LODE
MTA
MUX
PLG
PPTA
SBSW
TFPM
VOXR
SHEL
TTE
ENB
CNQ
EPD
KMI
EQNR
TRP
EOG
ET
E
MPLX
SU
PSX
VLO
OKE
IMO
TRGP
EQT
CVE
PBR-A
WDS
EXE
CQP
PBA
EC
TS
TPL
FTI
WES
PAGP
YPF
VNOM
PAA
DTM
PR
AR
OVV
DINO
AM
RRC
ABBV
MRK
PFE
BMY
WFC
BK
MPWR
ON
SWKS
BX
KKR
APO
AMP
STT
RJF
GEV
ETN
PH
ITW
EMR
CMI
AME
ROK
XYL
OTIS
IR
DOV
PNR
NDSN
IEX
GNRC
AOS
RC
MFA
AGNC
RITM
BAK
PATH
DG
REYN
PLD
LW
AZO
CMG
LUV
B
AU
GFI
FNV
AEM
WPM
KGC
RGLD
CDE
EQX
IAG
EGO
BTG
ORLA
SSRM
AGI
NGD
AUGO
SA
FSM
HYMC
HMY
OR
NG
ARMN
DRD
SHW
APD
PPG
ALB
LYB
RPM
SQM
DD
WLK
AXTA
NEU
ESI
BCPC
SXT
CBT
FUL
SOLS
SSL
AVNT
IFF
EMN
PRM
ASH
CC
BHP
RIO
CRH
TECK
MLM
CX
ALM
JHX
EXP
SKE
SLI
TMC
NB
AMRZ
KNF
USLM
TGLS
TTAM
SCCO
NUE
STLD
PKX
MT
RS
TX
CLF
GGB
SID
CMC
SIM
WS
CTVA
NTR
CF
SMG
ICL
FMC
DOW
CE
OLN
MEOH
CTM
UFPI
SSD
WFG
SUZ
HCC
AMR
UNH
NVS
ABT
SYK
ELV
CVS
ZTS
BDX
EW
COR
CNC
A
RMD
BIO
COO
HOLX
ALC
RGEN
TECH
MCD
LOW
TJX
HLT
YUM
DRI
DHI
LEN
TSCO
EXPE
CCL
RCL
LVS
MGM
GPC
KMX
BBY
WSM
VFC
RL
TPR
PVH
GE
F
